name,region,number,link,description,a1,a1_description,a2,a3,a4,a5,a5_description,a6,a6_description,a7,a7_1,a7_2,a7_description
彭玄驊,社會科學院,6,https://drive.google.com/file/d/1JYoauhqYRD04VjJzLMw4pJOUhsiL9DZh/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「反映選民意見」、「監督學生會行政施政」、「向校方爭取權益」、「對社會議題進行表態、倡議」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」。<br />
<br />
補充說明：為落實學生代表監督之職權，透過質詢、行政報告，了解學生會會務狀況乃最重要的工作。再者，如何體現學生的民意，而非恣意行使職權，亦非常重要。「監督行政」與「蒐集意向」將會是我的兩大方針。<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定可以」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「介於不行與可以中間」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：如系爭議題係全校意向明確的議題，學生會長做為學生代表，站出來呼籲自然不過。但若相關議題在校園內意見分歧，則不宜以全體學生代表的身分發言。<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向工會式學生會」。<br />
<br />
補充說明：學校與學生之間本就有上下、從屬之關係，在面對爭議時，若只是一昧的姑息退讓，想必成效不會很理想。學生會或學生代表未必要使用激烈手段，但是在溝通談判時應要堅守立場，以學生利益為優先考量。<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「人文大樓」、「學生活動空間」；具體而言是：「人文大樓的興建。」。<br />
<br />
補充說明：無。<p>","C,E,A,B,D",為落實學生代表監督之職權，透過質詢、行政報告，了解學生會會務狀況乃最重要的工作。再者，如何體現學生的民意，而非恣意行使職權，亦非常重要。「監督行政」與「蒐集意向」將會是我的兩大方針。,1,1,0,1,如系爭議題係全校意向明確的議題，學生會長做為學生代表，站出來呼籲自然不過。但若相關議題在校園內意見分歧，則不宜以全體學生代表的身分發言。,0.667,學校與學生之間本就有上下、從屬之關係，在面對爭議時，若只是一昧的姑息退讓，想必成效不會很理想。學生會或學生代表未必要使用激烈手段，但是在溝通談判時應要堅守立場，以學生利益為優先考量。,"G,M",人文大樓的興建。,場館租借費用不應調漲。,無。
游士朋,理學院,2,https://drive.google.com/file/d/1oG02jDLFg5ajUehi-jM69wPDaBZ_0tWm/view?usp=drivesdk,#N/A,"C,E,A,B,D",,-1,-0.667,0,0,,-0.667,無。,E,教學品質改善,,無。
郭仲耘,理學院,4,https://drive.google.com/file/d/1sDQWMDenczgXN3-541Jh0-Z6Ycnt1ZcM/view?usp=drivesdk,#N/A,"A,D,E,C,B",,-0.667,-0.667,0.667,0.667,,-1,無。,Ｍ,能夠更自由使用的學生活動空間～,,無。
芮立民,理學院,5,https://drive.google.com/file/d/1BhPUtcXCsXmNgU-cnKHJKhQJ1a2L4Icw/view?usp=drivesdk,#N/A,"A,E,C,D,B",,-1,0,0,1,,0,無。,E,推動課程修習自由化、多元化。,整合各種專題演講、研討會的活動資訊，讓全體學生都能知曉並自由地參與。,無。
陳奕儒,理學院,6,https://drive.google.com/file/d/1Lo90NppvAxuJr6Ql8_xbbR49hEV2Y-LS/view?usp=drivesdk,#N/A,"E,A,B,C,D",,-1,0.667,-1,1,無論議題與學生身分是否有關，會長應在學生意見普遍一致的情況下，才能代表台大學生表態。,-0.667,面對大多數的議題時，學生會應該採取溫和手段，避免造成破壞與學生的困擾。除非遇到事態重大且緊急的問題，再增加抗爭。,"B,Q",推動服學制度的改善，讓服學不再是掃系館，可以做些更有意義的事情。,推動校園環保觀念，減少更多垃圾產生，也妥善分類回收。,無。
張程欽,管理學院,1,https://drive.google.com/file/d/1dz5zQgGITGXS4gxQb5MpNGH_uhCkqEw2/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「監督學生會行政施政」、「反映選民意見」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「向校方爭取權益」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：讓學生會成為真正為同學服務的組織<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定不行」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定不行」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定不行」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「介於不行與可以中間」表態。<br />
<br />
補充說明：跟學生、學習無關，不需要學生會代表；針對學生有關聯事情，應當先詢問學生普查後再表態；學生會是服務學生，不能完全代表學生<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「橋樑式學生會」。<br />
<br />
補充說明：學生代表本就是代表學生協調處理事情，而非把事情推到無法處理的窘境<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「校長遴選爭議」、「教務改革」；具體而言是：「學術自主，校園自治」。<br />
<br />
補充說明：無。<p>","E,C,D,A,B",讓學生會成為真正為同學服務的組織,-1,-1,-1,0,跟學生、學習無關，不需要學生會代表；針對學生有關聯事情，應當先詢問學生普查後再表態；學生會是服務學生，不能完全代表學生,-1,學生代表本就是代表學生協調處理事情，而非把事情推到無法處理的窘境,"H,E",學術自主，校園自治,課程改造及教師教學研究提升,無。
廖偉展,管理學院,9,https://drive.google.com/file/d/15jNHJmjMZVCCYGCQH45sVnz7ljdzVv-x/view?usp=drivesdk,#N/A,"C,A,E,D,B",,-1,0,-0.667,1,,-1,無。,"L,C","支持學校走向國際化,提升台大人競爭力","支持學生參與學校治理 , 凝聚台大人共識",無。
王宇綺,公共衛生學院,1,https://drive.google.com/file/d/1aTbJs6N2QTZONRWIge3FdunCnQlR4tTr/view?usp=drivesdk,#N/A,"C,A,E,B,D",,-0.667,-0.667,-0.667,-0.667,,0,無。,K,提升學生對於校園議題或公共議題的關注,,無。
魏妤庭,工學院,1,https://drive.google.com/file/d/1WdPi0dnW5GAX1yTh8dbmNehosYHkVuPy/view?usp=drivesdk,#N/A,"C,E,A,B,D",,0,1,0.667,1,,-0.667,無。,I,推動學生與業界和國際的接軌。,,無。
鄧廣志,工學院,3,https://drive.google.com/file/d/17_4LLvum-jo1-p_bmGFEN_66Qi2_1UKV/view?usp=drivesdk,#N/A,"A,E,C,D,B",學生權益不容漠視，會以向校方爭取權益為目標,-0.667,0.667,0,1,,0,本題中立的原因是，若校方講理，沒有必要進行抗爭，但若校方漠視學生權益，當然會為了學生權益採取較激烈（但不違反法律）的方式,H,校長遴選相關爭議,,無。
何蔚慈,法律學院,1,https://drive.google.com/file/d/1UF_0M52WE944A97outzvtMVGnCc8UdUk/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「監督學生會行政施政」、「向校方爭取權益」、「反映選民意見」、「對社會議題進行表態、倡議」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」。<br />
<br />
補充說明：針對學生會預算及活動的舉辦，我認為是最主要學代的職權所在，為同學的會費把關也避免一些不必要預算的浪費。另，就學生權益爭取，學代若是個人力量較為有限，會嘗試與福利部、學術部合作，或是在學代會內組成特定議題的工作小組。以上兩項是我認為最為重要的部分！<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「偏向不行」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「偏向可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「偏向不行」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：每屆學生會會長選舉時都會有其政見及整學年度的價值選擇，若這個價值經過民主的選舉程序後被認同，故其應具一定程度的代表性。若學生意見分歧之議題，就學生會立場若此議題並非學生會原先所設定的價值，就不應貿然以學生會身分表態；而若此為選舉時會長便已提出之價值，那我認為是可以進行表態的。

至於，學生立場較為一致的議題，是可以盡可能用官方的立場進行倡議、爭取！<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向工會式學生會」。<br />
<br />
補充說明：若要讓議題能夠更有效的被達成，勢必要採取一些較為溫和的手段，也要與行政人員培養更良好的關係，以利一些議題有效推動，但在一些比較核心爭議點，如英檢與服學，學校很明顯沒有退讓的可能，此時就要調整為較為倡議、抗爭式的角色，兩種角色互相配合、搭配，讓學生自治組織的功能最大化！<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「關注學權議題」；具體而言是：「不會特別設定議題，若是與同學生活密切相關，且影響重大，就會盡力爭取。」。<br />
<br />
補充說明：每年會發生的重大學生權益事件不盡相同，去年以前也沒有人會想到田徑場租借爭議會引發如此大的風波，因此，我認為應該視情況而定，若這個議題影響層面廣，那就會是最優先爭取的。<p>","E,A,C,B,D",針對學生會預算及活動的舉辦，我認為是最主要學代的職權所在，為同學的會費把關也避免一些不必要預算的浪費。另，就學生權益爭取，學代若是個人力量較為有限，會嘗試與福利部、學術部合作，或是在學代會內組成特定議題的工作小組。以上兩項是我認為最為重要的部分！,-0.667,0.667,-0.667,1,"每屆學生會會長選舉時都會有其政見及整學年度的價值選擇，若這個價值經過民主的選舉程序後被認同，故其應具一定程度的代表性。若學生意見分歧之議題，就學生會立場若此議題並非學生會原先所設定的價值，就不應貿然以學生會身分表態；而若此為選舉時會長便已提出之價值，那我認為是可以進行表態的。

至於，學生立場較為一致的議題，是可以盡可能用官方的立場進行倡議、爭取！",0.667,若要讓議題能夠更有效的被達成，勢必要採取一些較為溫和的手段，也要與行政人員培養更良好的關係，以利一些議題有效推動，但在一些比較核心爭議點，如英檢與服學，學校很明顯沒有退讓的可能，此時就要調整為較為倡議、抗爭式的角色，兩種角色互相配合、搭配，讓學生自治組織的功能最大化！,J,不會特別設定議題，若是與同學生活密切相關，且影響重大，就會盡力爭取。,不會特別設定議題，若是與同學生活密切相關，且影響重大，就會盡力爭取。,每年會發生的重大學生權益事件不盡相同，去年以前也沒有人會想到田徑場租借爭議會引發如此大的風波，因此，我認為應該視情況而定，若這個議題影響層面廣，那就會是最優先爭取的。
林士淵,法律學院,3,https://drive.google.com/file/d/1w52v4tP22YJjr34O00GZ2Oj4hwE3x4OH/view?usp=drivesdk,#N/A,"A,D,C,E,B",,-0.667,1,0.667,1,,-0.667,無。,"B,F",全力支持服務學習課程修改，讓現行只有勞動而缺乏實益的課程走入歷史，現行課程內容各系情況不一，品質參差不齊，且扼殺了同學依照所長選擇服務內容的可能，應該讓學生有更多元的服務項目，且在課程設計上真正符合服務精神。,校園內部路面改善，柏油路面坑坑巴巴，長年未重新鋪設，對於學生騎乘自行車的舒適與安全均造成疑慮。,無。
林昱嘉,電機資訊學院,1,https://drive.google.com/file/d/1_P6ln71EEKGDT6uabWkuNXlOYdGJpwRv/view?usp=drivesdk,"<p>（一）未來一年中，學生代表的任務，重要性由高到低排序為：「反映選民意見」、「資訊公開，例如：公開學代會內部會議紀錄、或出席校級會議的會議紀錄」、「向校方爭取權益」、「監督學生會行政施政」、「對社會議題進行表態、倡議」。<br />
<br />
補充說明：我覺得這些東西是相輔相成，最終目的都是要讓選民的意志得以實現<br />
<br />
（二）面對與學生身份無關、且學生意見分歧之議題（例如：廢除死刑議題），學生會長「一定可以」表態<br />
（三）面對與學生身份無關、但學生意見普遍一致之議題（例如：婚姻平權議題），學生會長「一定可以」表態<br />
（四）面對與學生身份有關、但學生意見分歧之議題（例如：本校校長聘任議題），學生會長「一定可以」表態<br />
（五）面對與學生身份有關、且學生意見普遍一致之議題（例如：廢除英檢畢業門檻），學生會長「一定可以」表態。<br />
<br />
補充說明：學生會長有代表學生發言的權利但同時也有受選民及學代監督的義務<br />
<br />
（六）學生會與校方之間的關係，應該要比較接近「偏向工會式學生會」。<br />
<br />
補充說明：唯有以抗爭為後盾，協商為手段，才能真正維護眾多同學的權利。
昏睡的人叫不醒，權利本來就不是天上掉下來的，單與既得利益者磋商又有什麼用？爭取權利就要有流血的準備，也只有表達出強大的意志，才能把流血的可能性降到最低。<br />
<br />
（七）接下來的一年中，最重要、最值得被推動的校園議題類別是：「校務參與」、「性別友善」；具體而言是：「三年目睹之怪現狀,廢服學,英檢,讓學生真正成為學校的主體」。<br />
<br />
補充說明：無。<p>","C,D,A,E,B",我覺得這些東西是相輔相成，最終目的都是要讓選民的意志得以實現,1,1,1,1,學生會長有代表學生發言的權利但同時也有受選民及學代監督的義務,0.667,"唯有以抗爭為後盾，協商為手段，才能真正維護眾多同學的權利。
昏睡的人叫不醒，權利本來就不是天上掉下來的，單與既得利益者磋商又有什麼用？爭取權利就要有流血的準備，也只有表達出強大的意志，才能把流血的可能性降到最低。","K,D","三年目睹之怪現狀,廢服學,英檢,讓學生真正成為學校的主體",推動性別平權照顧弱勢者權益,無。
楊育綸,電機資訊學院,2,https://drive.google.com/file/d/1g6EAZmGMIxEbCVupXetFT5U7S2_6LlTj/view?usp=drivesdk,#N/A,"C,E,A,D,B",,-0.667,0,0,0.667,,0,無。,Ｎ,推動學生會內資料公開透明,嚴格監督學生會對外關係,無。
